id,Restricao,Elementos Restritivos
1,diabetes,"{ ""estévia"": [""estévia"", ""stévia"", ""adoçante de stevia""], ""eritritol"": [""eritritol""], ""xilitol"": [""xilitol""], ""sucralose"": [""sucralose""], ""adoçante"": [""adoçante""], ""açúcar"": [""açúcar""], ""açúcar de coco"": [""açúcar de coco""], ""mel"": [""mel""] }"
2,hipertensão,"{ ""ricos em sódio"": [ ""sal de fumaça"", ""azeitona"", ""pepino em conserva"", ""alcaparras"", ""caldo de legumes"", ""caldo de vegetais"", ""caldo de galinha"", ""vinagre balsâmico"", ""aceto balsâmico"", ""vinagre de vinho"", ""vinagre de arroz"", ""molho balsâmico"" ], ""temperos"": [ ""molho de mostarda"", ""pasta de mostarda"", ""mostarda dijon"", ""temperos para grelhados"", ""sal de fumaça"", ""vinagre de vinho"", ""vinagre de vinho tinto"", ""calabresa"", ""pimenta calabresa"", ""páprica defumada"", ""manteiga"" ], ""especiarias estimulantes"": [ ""ginseng"", ""chá de ervas"", ""masala"" ] }"
3,doença renal crônica,"{ ""proteínas em excesso"": [""carne vermelha"", ""frango"", ""peixe gorduroso""], ""alimentos ricos em potássio"": [ ""banana"", ""batata"", ""batata-doce"", ""purê de batata"", ""batata inglesa"", ""tomate"", ""tomate cereja"", ""molho de tomate"", ""abacate"", ""laranja"", ""suco de laranja"", ""tangerina"", ""melancia"", ""pêssego"", ""frutas em conserva"" ], ""alimentos ricos em fósforo"": [ ""leite"", ""leite sem lactose"", ""leite de arroz"", ""leite de aveia"", ""queijo parmesão"", ""queijo cottage"", ""queijo fresco"", ""queijo minas frescal"", ""queijo ricota"" ] }"
4,síndrome do intestino irritável,"{""vegetais fermentáveis"": [""alho"", ""cebola"", ""brócolis"", ""couve-flor"", ""repolho""], ""leguminosas fermentáveis"": [""feijão"", ""lentilha"", ""grão-de-bico"", ""ervilha""], ""frutas com alto teor de frutose e polióis"": [""maçã"", ""pera"", ""manga"", ""melancia"", ""ameixa"", ""lichia""], ""grãos fermentáveis"": [""trigo integral"", ""centeio"", ""farelo de trigo""], ""laticínios"": [""leite"", ""queijo cottage"", ""queijo parmesão"", ""queijo feta""], ""bebidas e alimentos fermentados"": [""kombucha"", ""misô"", ""kimchi"", ""chucrute"", ""mel""]}"
5,gota,"{ ""carnes ricas purinas"": [ ""fígado"", ""rim"", ""vísceras"", ""carne de caça"", ""carne de órgão"", ""carne de veado"", ""carne de coelho"", ""carne de aves exóticas"" ], ""frutos_mar_peixes_purinas"": [ ""sardinha"", ""anchova"", ""bacalhau"", ""atum"", ""mexilhão"", ""lagosta"", ""marisco"", ""arenque"", ""badejo"", ""baiacu"", ""caranguejo"", ""cação"", ""peixe de água fria"" ], ""carnes_processadas_embutidos"": [ ""salame"", ""presunto"", ""bacon"", ""salsicha"", ""carne processada"" ], ""leguminosas_purinas"": [ ""feijão"", ""lentilha"", ""ervilha"", ""grão-de-bico"", ""feijão-preto"", ""feijão-mungo"", ""soja"", ""edamame"", ""tempeh"", ""proteína vegetal"" ], ""bebidas_acucares_acido_urico"": [ ""álcool"", ""frutose"" ] }"
6,dislipidemia,"{ ""gorduras ruins"": [ ""banha"", ""margarina"", ""óleo de coco"", ""queijos gordurosos"" ], ""carboidratos refinados"": [ ""farinha branca"", ""pão branco"", ""bolos industrializados"" ], ""carnes processadas"": [ ""presunto"", ""peito de peru"", ""salsicha"" ]"
7,doença de crohn,"{ ""frutas ácidas"": [ ""laranja"", ""limão"", ""abacaxi"", ""toranja"" ], ""frutas secas"": [ ""uva-passa"", ""tâmara"", ""damasco"", ""figo"" ], ""sementes difíceis de digerir"": [ ""linhaça"", ""semente de chia"", ""semente de romã"" ], ""vegetais irritantes"": [ ""cebola"", ""pepino"", ""beterraba"" ], ""laticínios fermentados"": [ ""iogurte grego"", ""queijo feta"" ] }"
8,anemia ferropriva,"{ ""inibem absorção de ferro"": [ ""leite"", ""queijo"", ""chá preto"", ""café"" ], ""ricos em fitatos"": [ ""farinha de trigo integral"", ""cereais integrais"" ], ""ricos em oxalatos"": [ ""espinafre"", ""acelga"", ""beterraba"" ] }"
9,hipotireoidismo,"{ ""vegetais_cruciferos"": [ ""brócolis"", ""couve"", ""couve-flor"", ""repolho"", ""couve-de-bruxelas"", ""nabo"", ""rabanete"", ""agrião"", ""mostarda"", ""acelga"" ], ""soja_derivados"": [ ""soja"", ""tofu"", ""leite de soja"", ""proteína de soja"", ""missô"", ""edamame"", ""tempeh"" ], ""alimentos_antinutricionais"": [ ""sementes de girassol"", ""feijão"", ""lentilha"", ""grão-de-bico"", ""ervilha"" ], ""excesso_iodo"": [ ""alga marinha"", ""nori"", ""wakame"" ] }"
10,doença hepática gordurosa não alcoólica,"{ ""açucares_adicionados"": [ ""açúcar"", ""açúcar mascavo"", ""açúcar de coco"", ""mel"", ""melado"", ""xarope de bordo"", ""xarope de agave"", ""melaço"", ""stevia"", ""eritritol"", ""xilitol"", ""adoçante natural"", ""adoçantes"", ""gelatina diet"", ""geleia sem açúcar"", ""suco de frutas"", ""suco natural"" ], ""gorduras_saturadas_e_trans"": [ ""manteiga de amendoim"", ""pasta de amendoim"", ""manteiga de amêndoa"", ""pasta de amêndoas"", ""outra manteiga de nozes"", ""creme de ricota"", ""cream cheese"", ""ricota"", ""óleo de coco"" ], ""farinhas_refinadas_e_processadas"": [ ""farinha branca"", ""farinha de arroz"", ""farinha de centeio"", ""farinha de trigo"", ""farinha integral"", ""farinha de amêndoas"", ""farelo de aveia"", ""pão integral"", ""tapioca"", ""cuscuz"", ""bolo"", ""biscoito"", ""biscoitos"", ""cookie"", ""bolacha"", ""muffin"", ""bolinho"", ""barrinha de cereal"", ""barrinha de proteína"", ""pão"", ""tortilha integral"", ""barras de cereais"", ""panqueca"" ], ""alimentos_ultraprocessados"": [ ""pudim"", ""pudim de chia"", ""pudim de abacate"", ""panna cotta"", ""gelatina"", ""gelatina sem açúcar"", ""sorvete"", ""picolé"", ""barras de aveia"", ""barrinha de frutas"", ""mix de nuts"", ""proteína em pó"", ""proteína vegana"", ""proteína em pó de ervilha"" ] }"
